smiles,ea
[C:1]([C:2]([C:3]([N:4]([C:5](=[O:6])[C:7]([H:16])([H:17])[H:18])[H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:3]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[N:4](=[C:5](/[O:6][H:12])[C:7]([H:16])([H:17])[H:18])\[H:15],100.0
[C:1](/[C:2](=[N:3]\[O:4][H:10])[C:5]#[C:6][H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([N:3]([O:4][H:10])[H:9])[C:5]#[C:6][H:11])([H:7])[H:8],17.47
[C:1]([C@@:2]([C:3]#[N:4])([C:5](=[O:6])[C:7]([H:12])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:5]([C:3]#[N:4])=[O:6])([C:7]([H:12])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],24.71
[C:1]([O:2][C:3]([C:4]([C:5]([H:13])([H:14])[H:15])([C:6]([H:16])([H:17])[H:18])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O+:2]=[C-:3][H:11])([H:7])([H:8])[H:9].[C:4]([C:5]([H:13])([H:14])[H:15])([C:6]([H:16])([H:17])[H:18])([H:10])[H:12],95.08
[O:1]([C@@:2]([C:3]([C:4]#[N:5])([H:10])[H:11])([C:6]#[C:7][H:12])[H:9])[H:8]>>[O:1]([C@@:2]1([H:9])[C:6]([N:5]=[C:4]=[C:3]([H:10])[H:11])=[C:7]1[H:12])[H:8],14.09
[C:1]([C@@:2]([O:3][C:4](=[O:5])[H:12])([C:6]#[C:7][H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C-:2]([O+:3]=[C:4]([O:5][C:6]#[C:7][H:13])[H:12])[H:11])([H:8])([H:9])[H:10],0.0
[C:1]([O:2][C:3]([C@@:4]([C:5]([H:13])([H:14])[H:15])([O:6][H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[O:2])([H:7])[H:8].[C:3](=[C:4]([C:5]([H:13])([H:14])[H:15])[O:6][H:16])([H:10])[H:11].[H:9][H:12],100.0
[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5]#[C:6][H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[C:2]([C:3]([O:4][H:13])([H:11])[H:12])=[C:5](\[C:6][H:14])[H:10])([H:7])([H:8])[H:9],100.0
[C:1](/[N:2]=[C:3](/[O:4][C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1]([N+:2]#[C-:3])([H:8])([H:9])[H:10].[O:4]([C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])[H:11],100.0
[O:1]=[C:2]([C:3]([N:4]([C:5](=[O:6])[H:11])[H:10])([H:8])[H:9])[H:7]>>[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[N:4]1[H:10])[C:5](=[O:6])[H:11],100.0
[C:1]([C:2]([O:3][H:9])([H:7])[H:8])([H:4])([H:5])[H:6]>>[C:1]([O:3][H:9])([H:4])([H:5])[H:6].[C:2]([H:7])[H:8],0.0
[C:1]([C:2](=[O:3])[O:4]/[C:5](=[N:6]/[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[O+:4]=[C-:5][N:6]([H:10])[H:11])([H:7])([H:8])[H:9],100.0
[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:11])[H:12])([H:8])[H:10].[O:3]=[C:4]([O:5][H:9])[C:6]([O:7][H:15])([H:13])[H:14],100.0
[C:1]([C:2]([C:3]([O:4][C:5]([C:6]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([O:4][H:17])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9].[C:5](=[C:6]([H:16])[H:18])([H:14])[H:15],100.0
[O:1]([C:2]([C:3]([C:4]#[N:5])([H:9])[H:10])([H:7])[H:8])[H:6]>>[O:1]([C:2]([N:5]=[C:4]=[C:3]([H:9])[H:10])([H:7])[H:8])[H:6],99.96
[C:1]([C@@:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O+:4]=[C-:3][H:12])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],0.0
[N:1]([C:2](=[O:3])[C:4]([C:5]([O:6][H:13])([H:11])[H:12])([H:9])[H:10])([H:7])[H:8]>>[N:1]([C-:2]=[O+:3][C:4]([C:5]([O:6][H:13])([H:11])[H:12])([H:9])[H:10])([H:7])[H:8],0.01
[C:1]([C:2]([C:3]([C:4]([O:5][C:6]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:12].[C:2](=[C:3]([C:4]([O:5][C:6]([H:16])([H:17])[H:18])([H:14])[H:15])[H:13])([H:10])[H:11],0.0
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[O:5])[N:6]([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C+:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([O-:5])[N:6]([H:14])[H:15].[C:1]([H:7])([H:8])([H:9])[H:10],7.09
[C:1]([N:2]([C:3]([H:10])([H:11])[H:12])[C:4]([C:5](=[O:6])[H:15])([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([N:2]=[C:3]([H:10])[H:12])([H:7])([H:8])[H:9].[C:4](=[C:5]([O:6][H:11])[H:15])([H:13])[H:14],100.0
[C:1]([N:2]([C:3](=[O:4])[N:5]([C:6]([H:12])([H:13])[H:14])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:1]([N+:2]([C:3](=[O:4])[N:5]([C:6]([H:12])([H:13])[H:14])[H:11])([H:8])[H:10])([H:7])[H:9],6.8
[N:1]([C:2](=[O:3])[C:4]([C:5]#[N:6])([H:9])[H:10])([H:7])[H:8]>>[C:2](=[O:3])=[C:4]([H:9])[H:10].[N:1]([C:5]#[N:6])([H:7])[H:8],3.03
[C:1]([C@@:2]([C:3](=[O:4])[H:12])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C@@:3]([N:7]([H:13])[H:14])([H:12])[O:4][C:5]1=[O:6])([H:8])([H:9])[H:10],100.0
[C:1]([N:2]([C:3](=[O:4])[N:5]([C:6]([H:12])([H:13])[H:14])[C:7]([H:15])([H:16])[H:17])[H:11])([H:8])([H:9])[H:10]>>[C:1]([O:4]/[C:3](=[N:2]/[H:11])[N:5]([C:6]([H:12])([H:13])[H:14])[C:7]([H:15])([H:16])[H:17])([H:8])([H:9])[H:10],100.0
[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]=[C:3]1[C:4]([H:10])([H:11])[C@@:5]1([O:6][H:9])[H:12])([H:7])[H:8],100.0
[C:1]([N:2]([C:3]([H:10])([H:11])[H:12])[C:4](=[O:5])[N:6]([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3]([H:10])([H:11])[H:12])/[C:4]([O:5][H:13])=[N:6]\[H:14])([H:7])([H:8])[H:9],100.0
[C:1]([O:2][C:3]([C:4]#[C:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][H:14])([H:7])([H:8])[H:9].[C:3](=[C:4]=[C:5]=[C:6]([H:12])[H:13])([H:10])[H:11],100.0
[N:1]([C@@:2]([C:3]#[N:4])([C:5]1([H:11])[C:6]([H:12])([H:13])[C:7]1([H:14])[H:15])[H:10])([H:8])[H:9]>>[N:1]([C@@:2]1([H:10])/[C:3](=[N:4]/[H:11])[C:5]12[C:6]([H:12])([H:13])[C:7]2([H:14])[H:15])([H:8])[H:9],0.0
[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5]([O:6][H:18])([H:16])[H:17])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:18].[C:2](=[C:3]([C:4]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11].[C:5](=[O:6])([H:16])[H:17],1.79
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[H:8])([H:5])([H:6])[H:7]>>[C:1](=[C:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:12])([H:13])[H:14])([H:6])[H:7].[H:5][H:11],0.0
[C:1]([C:2](=[O:3])[N:4]([C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])/[N:4]=[C:5](/[O:6][H:10])[H:11])([H:7])([H:8])[H:9],100.0
[C:1]([C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3][C:5]([H:15])([H:16])[H:17])([H:9])[H:10])([H:6])([H:7])[H:8].[C:4]([H:11])([H:12])([H:13])[H:14],6.11
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]#[C:5][C:6](=[O:7])[H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C+:2]([C:3]([H:12])([H:13])[H:14])[C:4](=[C:5]=[C:6]([O-:7])[H:15])[H:11])([H:8])([H:9])[H:10],100.0
[C:1]([C:2]([C:3]#[C:4][C:5]#[C:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[C:4]=[C:5]=[C:6]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9],100.0
[O:1]([C:2]([C:3]#[C:4][C:5]#[N:6])([H:8])[H:9])[H:7]>>[O:1]([C:2]([C:3](=[C-:4])[N+:6]#[C:5])([H:8])[H:9])[H:7],2.87
[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C@@:3]1([H:12])[O:4][C@:5]1([C:6]([O:7][H:15])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],0.03
[C:1](/[N:2]=[C:3](\[N:4]([H:11])[H:12])[C:5](=[O:6])[N:7]([H:13])[H:14])([H:8])([H:9])[H:10]>>[C:1](/[N:2]=[C:3](\[N:4]([H:11])[H:12])[O:6][C-:5]=[N+:7]([H:13])[H:14])([H:8])([H:9])[H:10],46.6
[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5]#[N:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C@@:3]1([H:12])[C:5]([O:4][H:13])=[N:6]1)([H:10])[H:11])([H:7])([H:8])[H:9],15.19
[C:1]([O:2][C:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2]/[C:3](=[C:4](\[C:5](=[O:6])[H:14])[H:12])[H:10])([H:7])([H:8])[H:9].[H:11][H:13],0.91
[N:1]([C@@:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])([C:6]#[N:7])[H:10])([H:8])[H:9]>>[N:1]([C:2](=[C:6]=[N:7][C@:4]([C:3]([H:11])([H:12])[H:14])([O:5][H:15])[H:13])[H:10])([H:8])[H:9],0.64
[C:1]([N:2]([C:3](=[O:4])[N:5]([C:6]([H:12])([H:13])[H:14])[C:7]([H:15])([H:16])[H:17])[H:11])([H:8])([H:9])[H:10]>>[C:1]([N:2](/[C:3]([O:4][C:6]([H:12])([H:13])[H:14])=[N:5]\[C:7]([H:15])([H:16])[H:17])[H:11])([H:8])([H:9])[H:10],100.0
[C:1]([C@@:2]([C:3](=[O:4])[H:11])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:5]=[C:3]([N:6]=[O:4])[H:11])[H:10])([H:7])([H:8])[H:9],0.0
[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5]#[N:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C+:3]=[C:5]=[N-:6])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:12])([H:13])([H:14])[H:15],8.01
[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C@:4]1([O:5][H:15])[C:6]([H:13])([H:14])[O:7]1)([H:11])[H:12])([H:9])[H:10])[H:8],100.0
[O:1]([C:2]([C@@:3]([C:4](=[O:5])[H:12])([C:6]#[C:7][H:13])[H:11])([H:9])[H:10])[H:8]>>[O:1]([C:2](/[C:3](=[C:4](\[O:5][H:11])[H:12])[C:6]#[C:7][H:13])([H:9])[H:10])[H:8],100.0
[C:1]([C:2](=[O:3])[C:4](=[O:5])[C:6](=[O:7])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([O-:3])=[C:4]=[O+:5][C:6](=[O:7])[H:11])([H:8])([H:9])[H:10],100.0
[C:1]([C:2]([C:3]#[C:4][C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[C:4]=[C:5]([O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],100.0
[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](/[C:3]([C:4]([H:13])([H:14])[H:15])=[C:5](\[O:6][H:12])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],100.0
[C:1]([C:2]#[C:3][C:4](=[O:5])[C:6]([H:10])([H:11])[H:12])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[C:4]1[O:5][C:6]1([H:10])[H:11])[H:12])([H:7])([H:8])[H:9],0.15
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[O:5])[N:6]([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:9].[C:4]([O:5][H:8])[N:6]([H:14])[H:15],100.0
[N:1]([C:2](=[O:3])[C:4]([C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[C:2](=[O:3])=[C:4]([C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])[H:11].[N:1]([H:8])([H:9])[H:10],100.0
[C:1]([N:2](/[C:3](=[N:4]\[H:12])[C:5](=[O:6])[C:7]([H:13])([H:14])[H:15])[H:11])([H:8])([H:9])[H:10]>>[C+:1]([N:2]([C:3]([N-:4][H:12])=[C:5]([O:6][H:9])[C:7]([H:13])([H:14])[H:15])[H:11])([H:8])[H:10],0.58
[C:1]([C@@:2]([C:3]#[C:4][H:11])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:3](\[C:4][H:11])[H:10])[C:5]#[N:6])([H:7])([H:8])[H:9],100.0
[O:1]([C@@:2]([C:3]([C:4]#[C:5][H:12])([H:10])[H:11])([C:6]#[C:7][H:13])[H:9])[H:8]>>[O:1]([C:2]([C:3]([C:4]#[C:5][H:12])([H:10])[H:11])=[C:6]=[C:7]([H:9])[H:13])[H:8],100.0
[N:1]([C@@:2]([C:3]([O:4][H:12])([H:10])[H:11])([C:5]#[N:6])[H:9])([H:7])[H:8]>>[N:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O:4]/[C:5]1=[N:6]\[H:12])([H:7])[H:8],100.0
[C:1]([O:2][C:3](=[O:4])[N:5]([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][N:5]=[C:3]=[O:4])([H:6])([H:7])[H:8].[H:9][H:10],0.0
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]#[C:5][C:6](=[O:7])[H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([O+:7]=[C:6]([C:5]#[C-:4])[H:15])[H:11])([H:8])([H:9])[H:10],0.82
[C:1](/[C:2](=[N:3]\[H:11])[O:4][C:5]([C:6](=[O:7])[H:14])([H:12])[H:13])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:14])[N:3]([H:11])[C:6](=[O:7])[C:5]([H:12])([H:13])[O:4]1)([H:8])([H:9])[H:10],100.0
[C:1]([O:2][C:3](=[O:4])[C@@:5]([C:6]([H:12])([H:13])[H:14])([O:7][H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([O:2][C@@:3]([O:4][H:15])([C:5](=[O:7])[H:11])[C:6]([H:12])([H:13])[H:14])([H:8])([H:9])[H:10],100.0
[C:1]([C@@:2]([O:3][H:12])([C:4](=[O:5])[C:6]#[C:7][H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O:3][H:12])([C-:4]=[O+:5][C:6]#[C:7][H:13])[H:11])([H:8])([H:9])[H:10],0.01
[C:1]([C:2]([C:3](=[O:4])[C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[O:4])[H:11])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:10])[H:12],100.0
[C:1]([C:2](=[O:3])[C:4]([C:5]([O:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[C:4]([H:10])([H:11])[H:13])([H:7])([H:8])[H:9].[C:5]([O:6][H:14])[H:12],100.0
[C:1]([C@@:2]([O:3][H:12])([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1](/[C:2](=[C:4](\[C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10].[O:3]([C:5]([H:14])([H:15])[H:16])[H:12],0.33
[C:1]([C:2]([C:3](=[O:4])[N:5]([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C@:2]1([H:9])/[C:3](=[N:5]/[H:11])[O:4]1)([H:6])([H:7])[H:8].[H:10][H:12],0.06
[C:1]([C@@:2]([C:3]([C:4]([O:5][H:16])([H:14])[H:15])([H:12])[H:13])([C:6]#[N:7])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:6]=[N:7][H:14])[H:11])([H:8])([H:9])[H:10].[C:3](=[C:4]([O:5][H:16])[H:15])([H:12])[H:13],100.0
[C:1]([N:2]([C:3](=[O:4])[N:5]([H:10])[H:11])[H:9])([H:6])([H:7])[H:8]>>[C:1]([O:4][C+:3]([N-:2][H:9])[N:5]([H:10])[H:11])([H:6])([H:7])[H:8],100.0
[C:1]([C:2]([C@@:3]([C:4]([H:14])([H:15])[H:16])([N:5]([C:6](=[O:7])[H:18])[H:17])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C-:6]#[O+:7].[C:1]([C:2](/[C:3]([C:4]([H:14])([H:15])[H:16])=[N:5]\[H:17])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][H:18],99.45
[C:1]([C:2]([C:3]([C:4](=[O:5])[C:6](=[O:7])[H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](/[C:3](=[C:4](\[O:5][H:14])[C:6](=[O:7])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],100.0
[C:1]([C@@:2]([C:3]([C:4]#[C:5][H:14])([H:12])[H:13])([C:6]#[C:7][H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]2=[C:5]([H:14])[C:6]2=[C:7]1[H:15])([H:8])([H:9])[H:10],100.0
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([O:4][C:5](=[O:6])[H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:8])[H:9].[O:4]=[C:5]([O:6][H:7])[H:14],100.0
[C:1]([O:2][C:3]([C:4]#[C:5][H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2]/[C:3](=[C:4](\[C:5][H:11])[H:9])[H:10])([H:6])([H:7])[H:8],100.0
[C:1]([C:2](/[C:3](=[N:4]\[O:5][H:12])[C:6]([H:13])([H:14])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:12].[C:2](=[C:3]([N:4]=[O:5])[C:6]([H:13])([H:14])[H:15])([H:10])[H:11],100.0
[C:1]([O:2][C:3]([C:4](=[O:5])[O:6][C:7]([H:13])([H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][O:5][C:4](=[C:3]([H:11])[H:12])[O:6][C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10],0.0
[C:1]([C:2]([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3](=[C:4]=[C:5]([H:12])[H:13])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],100.0
[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5]#[C:6][H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[C:5]=[C:6]([O:4][H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],100.0
[C:1]([C:2](=[O:3])[C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([O:3][H:7])[C:4](=[O:5])[N:6]([H:10])[H:11])([H:8])[H:9],100.0
[C:1]([C:2]([N:3]([C:4]([H:12])([H:13])[H:14])[C:5](=[O:6])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:6][C:5](=[N+:3]([C-:2]([H:10])[H:11])[C:4]([H:12])([H:13])[H:14])[H:15])([H:7])([H:8])[H:9],0.05
[O:1]([C:2]([C:3]([O:4][H:11])([C:5]([O:6][H:14])([H:12])[H:13])[H:10])([H:8])[H:9])[H:7]>>[C:2]([H:8])[H:9].[O:1]([C:3]([O:4][H:11])([C:5]([O:6][H:14])([H:12])[H:13])[H:10])[H:7],0.0
[C:1](/[N:2]=[C:3](\[N:4]([H:11])[H:12])[C:5](=[O:6])[N:7]([H:13])[H:14])([H:8])([H:9])[H:10]>>[C:1](=[N:2][C:3](=[N+:4]([H:11])[H:12])[C:5](=[O:6])[N-:7][H:14])([H:8])[H:10].[H:9][H:13],100.0
[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5]#[C:6][H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[O:4][C:5]1=[C:6]([H:13])[H:14])([H:7])([H:8])[H:9],100.0
[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:5]=[N:6][C:3]([O:4][H:13])([H:11])[H:12])[H:10])([H:7])([H:8])[H:9],99.06
[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]([O:7][H:19])([H:17])[H:18])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([O:7][H:19])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[C:6]([H:17])[H:18],0.0
[C:1]([C@@:2]([C:3]#[C:4][H:11])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([C:3]#[C:4][H:11])([N+:6]#[C-:5])[H:10])([H:7])([H:8])[H:9],100.0
[N:1](=[C:2](\[O:3][C:4](=[O:5])[H:9])[C:6](=[O:7])[H:10])\[H:8]>>[N:1]([C:2](=[O:3])[C:6](=[O:7])[H:10])([C:4](=[O:5])[H:9])[H:8],100.0
[C:1]([C:2]#[C:3][C:4]([C:5]([O:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]=[C:3]([C:4]([C:5]([O:6][H:14])([H:12])[H:13])([H:10])[H:11])[H:7])([H:8])[H:9],95.89
